# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
1800 0.984919 -1.32616 0.809769
1810 1.01154 -1.34231 0.772718
1820 0.996863 -1.33235 0.7947
1830 0.96686 -1.30527 0.87919
1840 0.975789 -1.31738 0.829704
1850 0.934786 -1.32246 0.794164
1860 0.919165 -1.31069 0.826077
1870 0.934176 -1.32359 0.783782
1880 0.978852 -1.35653 0.676463
1890 0.987497 -1.34824 0.718646
1900 0.991836 -1.3301 0.7971
1910 0.991033 -1.32702 0.797659
1920 0.970463 -1.33515 0.761062
1930 0.978439 -1.32321 0.801971
1940 0.993716 -1.33039 0.761512
1950 1.00997 -1.34615 0.709484
1960 0.971899 -1.31271 0.826658
1970 0.947137 -1.32294 0.780464
1980 0.970918 -1.33284 0.768235
1990 1.00663 -1.31203 0.846859
2000 1.0275 -1.32808 0.804719
2010 0.994669 -1.34633 0.74613
2020 0.964283 -1.32545 0.814483
2030 0.993123 -1.31502 0.862983
2040 1.00177 -1.29997 0.91368
2050 0.993764 -1.31841 0.845604
2060 0.97757 -1.31437 0.859326
2070 0.968024 -1.32707 0.843602
2080 1.0076 -1.3295 0.876444
2090 1.00917 -1.32338 0.90215
2100 1.00878 -1.31171 0.927654
2110 1.02648 -1.29885 0.971029
2120 1.05085 -1.31988 0.895163
2130 1.02802 -1.2948 0.95206
2140 0.989721 -1.29116 0.930428
2150 0.986537 -1.29728 0.892594
2160 0.992728 -1.32412 0.781776
2170 0.991562 -1.32603 0.78592
2180 0.981411 -1.318 0.834654
2190 0.988302 -1.32046 0.858379
2200 1.03041 -1.33236 0.838201
2210 1.01593 -1.33713 0.812098
2220 1.01369 -1.32539 0.870159
2230 0.99794 -1.33452 0.840906
2240 1.0185 -1.34526 0.810843
2250 1.02439 -1.33541 0.852954
2260 1.05587 -1.33844 0.859898
2270 1.04619 -1.33581 0.85611
2280 0.995891 -1.3611 0.748347
2290 1.01319 -1.35161 0.778702
2300 1.01803 -1.34473 0.820435
2310 0.986164 -1.35736 0.766752
2320 1.00037 -1.35241 0.799551
2330 0.992223 -1.33136 0.881883
2340 1.05255 -1.33544 0.8793
2350 1.0344 -1.34931 0.800861
2360 0.996092 -1.35631 0.750307
2370 1.00267 -1.3507 0.765476
2380 0.995831 -1.34201 0.775581
2390 1.00783 -1.3336 0.811518
2400 0.978909 -1.31713 0.872567
2410 0.994257 -1.337 0.819301
2420 1.04523 -1.32332 0.904798
2430 1.0127 -1.3094 0.954671
2440 0.992071 -1.3195 0.907409
2450 0.98779 -1.30405 0.966863
2460 0.969987 -1.33129 0.84889
2470 0.997977 -1.33964 0.81376
2480 1.01606 -1.34102 0.807337
2490 1.00509 -1.33797 0.830867
2500 0.967362 -1.33145 0.854753
2510 1.03255 -1.34969 0.833831
2520 1.00815 -1.33005 0.895443
2530 1.02643 -1.33226 0.884327
2540 1.00395 -1.34683 0.81329
2550 0.998742 -1.32336 0.885357
2560 0.997875 -1.33952 0.801899
2570 0.986484 -1.32658 0.828863
2580 1.00491 -1.34642 0.767382
2590 0.987845 -1.32593 0.81839
2600 1.00825 -1.31931 0.849249
2610 1.03513 -1.32002 0.876107
2620 1.05535 -1.31998 0.89455
2630 1.0104 -1.33235 0.83723
2640 0.983091 -1.32014 0.888233
2650 1.00292 -1.33971 0.848698
2660 1.03161 -1.3245 0.901634
2670 1.00612 -1.33766 0.814359
2680 1.0074 -1.32979 0.820877
2690 0.956329 -1.32492 0.820098
2700 0.987148 -1.33344 0.792237
2710 1.00909 -1.33344 0.79397
2720 1.04346 -1.34681 0.762347
2730 0.972689 -1.30232 0.885493
2740 1.00481 -1.33675 0.783855
2750 1.01793 -1.29014 0.924649
2760 1.03088 -1.32732 0.781276
2770 0.981254 -1.32245 0.78034
